sample_id,word,predicted_start,predicted_end,timestamp_source,source_video
-s9qJ7ATP7w/0,a,2.23,2.28,forced_alignment,-s9qJ7ATP7w/0.mp4
-s9qJ7ATP7w/0,lose,3.3,3.73,forced_alignment,-s9qJ7ATP7w/0.mp4
-s9qJ7ATP7w/0,and,5.18,5.29,forced_alignment,-s9qJ7ATP7w/0.mp4
-s9qJ7ATP7w/0,up,5.93,6.16,forced_alignment,-s9qJ7ATP7w/0.mp4
-s9qJ7ATP7w/4,i,0.54,0.67,forced_alignment,-s9qJ7ATP7w/4.mp4
-s9qJ7ATP7w/4,lost,0.86,1.26,forced_alignment,-s9qJ7ATP7w/4.mp4
-s9qJ7ATP7w/4,at,1.26,1.37,forced_alignment,-s9qJ7ATP7w/4.mp4
-s9qJ7ATP7w/4,you,2.11,2.22,forced_alignment,-s9qJ7ATP7w/4.mp4
-s9qJ7ATP7w/4,can,2.22,2.4,forced_alignment,-s9qJ7ATP7w/4.mp4
-s9qJ7ATP7w/4,seriously,2.9,3.76,forced_alignment,-s9qJ7ATP7w/4.mp4
-t217m2on-s/7,if,0.52,0.67,forced_alignment,-t217m2on-s/7.mp4
-t217m2on-s/7,and,4.78,4.88,forced_alignment,-t217m2on-s/7.mp4
-t217m2on-s/7,to,7.93,7.99,forced_alignment,-t217m2on-s/7.mp4
-t217m2on-s/7,could,10.99,11.2,forced_alignment,-t217m2on-s/7.mp4
-t217m2on-s/7,a,13.43,13.48,forced_alignment,-t217m2on-s/7.mp4
-t217m2on-s/7,with,16.32,16.58,forced_alignment,-t217m2on-s/7.mp4
-vxjVxOeScU/4,you're,0.0,0.2,forced_alignment,-vxjVxOeScU/4.mp4
-vxjVxOeScU/4,about,1.1,1.71,forced_alignment,-vxjVxOeScU/4.mp4
-vxjVxOeScU/4,marriage,3.13,3.95,forced_alignment,-vxjVxOeScU/4.mp4
-vxjVxOeScU/4,amazing,5.83,6.41,forced_alignment,-vxjVxOeScU/4.mp4
-vxjVxOeScU/4,they've,6.95,7.14,forced_alignment,-vxjVxOeScU/4.mp4
-vxjVxOeScU/4,long,8.19,8.95,forced_alignment,-vxjVxOeScU/4.mp4
